iter	Passed	Remaining
511	5600	5338
512	5612	5328
513	5624	5317
514	5634	5306
515	5646	5295
516	5656	5284
517	5667	5273
518	5678	5262
519	5689	5251
520	5700	5240
521	5710	5229
522	5721	5218
523	5732	5207
524	5744	5197
525	5754	5185
526	5765	5174
527	5775	5163
528	5786	5151
529	5796	5140
530	5807	5129
531	5817	5117
532	5828	5106
533	5839	5095
534	5849	5084
535	5860	5073
536	5871	5062
537	5882	5051
538	5893	5040
539	5904	5029
540	5915	5019
541	5926	5008
542	5937	4997
543	5948	4986
544	5959	4975
545	5970	4964
546	5980	4952
547	5991	4941
548	6001	4930
549	6012	4919
550	6023	4908
551	6034	4897
552	6045	4886
553	6056	4875
554	6066	4864
555	6076	4852
556	6088	4842
557	6098	4830
558	6109	4819
559	6120	4808
560	6131	4797
561	6141	4786
562	6151	4775
563	6162	4764
564	6172	4752
565	6183	4741
566	6194	4730
567	6205	4719
568	6215	4708
569	6226	4696
570	6235	4685
571	6246	4673
572	6256	4662
573	6267	4651
574	6278	4640
575	6289	4630
576	6301	4619
577	6311	4608
578	6323	4597
579	6334	4586
580	6345	4575
581	6356	4565
582	6366	4553
583	6377	4542
584	6388	4531
585	6399	4521
586	6410	4510
587	6422	4500
588	6434	4489
589	6445	4478
590	6455	4467
591	6466	4456
592	6477	4446
593	6488	4434
594	6498	4423
595	6509	4412
596	6520	4401
597	6531	4390
598	6541	4379
599	6552	4368
600	6564	4358
601	6575	4347
602	6586	4336
603	6596	4324
604	6607	4313
605	6618	4303
606	6629	4292
607	6640	4281
608	6650	4269
609	6660	4258
610	6671	4247
611	6682	4236
612	6693	4226
613	6704	4214
614	6715	4204
615	6726	4193
616	6737	4182
617	6747	4171
618	6758	4159
619	6769	4149
620	6779	4137
621	6790	4126
622	6801	4115
623	6812	4104
624	6822	4093
625	6833	4082
626	6844	4071
627	6855	4060
628	6866	4050
629	6877	4039
630	6888	4028
631	6900	4017
632	6910	4006
633	6921	3995
634	6932	3984
635	6942	3973
636	6953	3962
637	6964	3951
638	6975	3940
639	6986	3929
640	6998	3919
641	7009	3908
642	7020	3897
643	7031	3886
644	7041	3875
645	7052	3864
646	7062	3853
647	7073	3842
648	7084	3831
649	7095	3820
650	7106	3809
651	7116	3798
652	7127	3787
653	7137	3775
654	7147	3764
655	7158	3754
656	7169	3743
657	7181	3732
658	7192	3721
659	7202	3710
660	7214	3699
661	7225	3689
662	7236	3678
663	7248	3667
664	7259	3656
665	7270	3646
666	7280	3634
667	7291	3623
668	7302	3613
669	7313	3602
670	7324	3591
671	7335	3580
672	7345	3569
673	7356	3558
674	7367	3547
675	7378	3536
676	7389	3525
677	7400	3514
678	7411	3503
679	7421	3492
680	7432	3481
681	7444	3471
682	7455	3460
683	7466	3449
684	7478	3438
685	7489	3428
686	7500	3417
687	7512	3406
688	7524	3396
689	7535	3385
690	7546	3374
691	7557	3363
692	7568	3352
693	7579	3342
694	7591	3331
695	7602	3320
696	7613	3309
697	7624	3298
698	7635	3287
699	7646	3276
700	7656	3265
701	7668	3255
702	7679	3244
703	7689	3233
704	7700	3222
705	7711	3211
706	7722	3200
707	7733	3189
708	7744	3178
709	7755	3167
710	7766	3156
711	7777	3145
712	7787	3134
713	7798	3123
714	7809	3112
715	7819	3101
716	7831	3091
717	7842	3080
718	7853	3069
719	7862	3057
720	7873	3046
721	7884	3035
722	7895	3025
723	7907	3014
724	7918	3003
725	7930	2993
726	7941	2982
727	7952	2971
728	7962	2960
729	7973	2949
730	7984	2938
731	7995	2927
732	8007	2916
733	8017	2905
734	8027	2894
735	8037	2883
736	8048	2871
737	8058	2861
738	8069	2850
739	8080	2839
740	8091	2828
741	8102	2817
742	8113	2806
743	8124	2795
744	8135	2784
745	8146	2773
746	8157	2762
747	8167	2751
748	8178	2740
749	8189	2729
750	8200	2718
751	8211	2707
752	8221	2696
753	8232	2685
754	8243	2674
755	8254	2664
756	8265	2653
757	8276	2642
758	8287	2631
759	8298	2620
760	8309	2609
761	8321	2599
762	8332	2588
763	8343	2577
764	8354	2566
765	8365	2555
766	8376	2544
767	8387	2533
768	8397	2522
769	8409	2511
770	8420	2500
771	8431	2490
772	8442	2479
773	8454	2468
774	8465	2457
775	8475	2446
776	8486	2435
777	8497	2424
778	8508	2413
779	8520	2403
780	8532	2392
781	8543	2381
782	8554	2370
783	8565	2359
784	8577	2349
785	8588	2338
786	8599	2327
787	8610	2316
788	8621	2305
789	8633	2294
790	8644	2284
791	8655	2273
792	8666	2262
793	8677	2251
794	8689	2240
795	8700	2229
796	8712	2219
797	8724	2208
798	8735	2197
799	8745	2186
800	8757	2175
801	8768	2164
802	8779	2153
803	8790	2142
804	8801	2131
805	8812	2121
806	8822	2110
807	8834	2099
808	8845	2088
809	8856	2077
810	8867	2066
811	8878	2055
812	8888	2044
813	8898	2033
814	8910	2022
815	8921	2011
816	8932	2000
817	8943	1989
818	8954	1978
819	8965	1968
820	8977	1957
821	8988	1946
822	8999	1935
823	9009	1924
824	9021	1913
825	9032	1902
826	9043	1891
827	9053	1880
828	9064	1869
829	9075	1858
830	9086	1847
831	9097	1836
832	9108	1825
833	9119	1815
834	9130	1804
835	9141	1793
836	9152	1782
837	9163	1771
838	9174	1760
839	9184	1749
840	9195	1738
841	9206	1727
842	9216	1716
843	9227	1705
844	9238	1694
845	9249	1683
846	9259	1672
847	9270	1661
848	9281	1650
849	9292	1639
850	9304	1629
851	9315	1618
852	9326	1607
853	9336	1596
854	9348	1585
855	9359	1574
856	9370	1563
857	9381	1552
858	9392	1541
859	9404	1531
860	9416	1520
861	9428	1509
862	9440	1498
863	9451	1487
864	9463	1476
865	9474	1466
866	9486	1455
867	9498	1444
868	9510	1433
869	9521	1422
870	9531	1411
871	9541	1400
872	9551	1389
873	9562	1378
874	9573	1367
875	9583	1356
876	9593	1345
877	9603	1334
878	9614	1323
879	9625	1312
880	9635	1301
881	9646	1290
882	9657	1279
883	9668	1268
884	9678	1257
885	9688	1246
886	9699	1235
887	9710	1224
888	9721	1213
889	9732	1202
890	9743	1192
891	9754	1181
892	9764	1169
893	9774	1158
894	9784	1147
895	9794	1136
896	9804	1125
897	9815	1114
898	9826	1104
899	9838	1093
900	9848	1082
901	9860	1071
902	9871	1060
903	9881	1049
904	9893	1038
905	9904	1027
906	9915	1016
907	9927	1005
908	9938	994
909	9949	984
910	9960	973
911	9971	962
912	9982	951
913	9993	940
914	10004	929
915	10015	918
916	10026	907
917	10036	896
918	10047	885
919	10057	874
920	10068	863
921	10079	852
922	10090	841
923	10101	830
924	10113	819
925	10123	809
926	10135	798
927	10145	787
928	10157	776
929	10168	765
930	10180	754
931	10192	743
932	10203	732
933	10213	721
934	10225	710
935	10236	699
936	10247	688
937	10259	678
938	10270	667
939	10281	656
940	10293	645
941	10303	634
942	10314	623
943	10325	612
944	10336	601
945	10347	590
946	10358	579
947	10368	568
948	10379	557
949	10390	546
950	10399	535
951	10410	524
952	10421	513
953	10431	503
954	10442	492
955	10453	481
956	10463	470
957	10475	459
958	10486	448
959	10497	437
960	10509	426
961	10520	415
962	10531	404
963	10542	393
964	10553	382
965	10564	371
966	10575	360
967	10586	349
968	10598	339
969	10609	328
970	10620	317
971	10631	306
972	10642	295
973	10654	284
974	10664	273
975	10674	262
976	10685	251
977	10695	240
978	10706	229
979	10717	218
980	10728	207
981	10739	196
982	10750	185
983	10762	174
984	10772	164
985	10783	153
986	10795	142
987	10806	131
988	10817	120
989	10828	109
990	10839	98
991	10849	87
992	10860	76
993	10871	65
994	10881	54
995	10892	43
996	10904	32
997	10915	21
998	10925	10
999	10936	0
